#,Entity,QRank,Label
1,Q178995,219893853,"HTTP cookie"
2,Q635,113674399,"Cleopatra"
3,Q866,93345399,"YouTube"
4,Q110999040,84175989,"2022 Russian invasion of Ukraine"
5,Q212,73967199,"Ukraine"
6,Q30,66315544,"United States of America"
7,Q7747,64847322,"Vladimir Putin"
8,Q106582931,51022028,"Squid Game"
9,Q317521,48207647,"Elon Musk"
10,Q159,48042429,"Russia"
11,Q7184,47889362,"North Atlantic Treaty Organization"
12,Q4740163,46918042,"Carles Puigdemont"
13,Q107528356,42181746,"Deaths in 2022"
14,Q11571,41534300,"Cristiano Ronaldo"
15,Q68934496,41097856,"Spider-Man: No Way Home"
16,Q1845,41073134,"Bible"
17,Q9682,39281339,"Elizabeth II"
18,Q95,36085705,"Google"
19,Q362,35764514,"World War II"
20,Q3874799,34646277,"Volodymyr Zelenskyy"
21,Q37175,33802301,"Johnny Depp"
22,Q209330,32485305,"Instagram"
23,Q355,32312120,"Facebook"
24,Q229166,32085042,"Amber Heard"
25,Q361,29944604,"World War I"
26,Q15180,29227418,"Soviet Union"
27,Q5269211,28588243,"Wikipedia:Featured pictures"
28,Q52,28048124,"Wikipedia"
29,Q19798734,26964198,"Stranger Things"
30,Q284163,26838818,"2022 FIFA World Cup"
31,Q352,26836366,"Adolf Hitler"
32,Q60834962,26765810,"Dune"
33,Q668,26233645,"India"
34,Q183,26091164,"Germany"
35,Q145,26090085,"United Kingdom"
36,Q9334,26006601,"Gmail"
37,Q10693,25740909,"periodic table"
38,Q15860072,25568478,"Russo-Ukrainian War"
39,Q64211112,24638396,"Doctor Strange in the Multiverse of Madness"
40,Q142,24396784,"France"
41,Q1049511,24281872,"WhatsApp"
42,Q11255,24203999,"Microsoft Office"
43,Q189489,23878343,"Zendaya"
44,Q135622,23794885,"Google Translate"
45,Q23894629,23652949,"Eternals"
46,Q148,23468771,"People's Republic of China"
47,Q17,23408643,"Japan"
48,Q17982,23150477,"Skathi"
49,Q615,23125733,"Lionel Messi"
50,Q865,22867251,"Taiwan"
51,Q21534241,22846508,"No Time to Die"
52,Q104214723,22707999,"Deaths in 2021"
53,Q303,22635145,"Elvis Presley"
54,Q61117344,22162552,"The Batman"
55,Q55080956,21741903,"Anna Sorokin"
56,Q37079,21650267,"Tom Cruise"
57,Q15869,21602788,"Freddie Mercury"
58,Q907311,21599386,"Netflix"
59,Q16148930,21198975,"list of Marvel Cinematic Universe films"
60,Q31202708,20987355,"Top Gun: Maverick"
61,Q2831,20910356,"Michael Jackson"
62,Q18756,20791072,"UEFA Champions League"
63,Q10132,20406509,"Rafael Nadal"
64,Q2023710,20308261,"Tom Holland"
65,Q380,20292323,"Meta Platforms"
66,Q1141479,20141583,"Voice of Vietnam"
67,Q1860,20009656,"English"
68,Q43,19880937,"Turkey"
69,Q75,19725397,"Internet"
70,Q99,19218897,"California"
71,Q486,19128945,"Chernobyl disaster"
72,Q13580495,19122371,"BTS"
73,Q10806,19026723,"September 11 attacks"
74,Q642878,18839016,"Marvel Cinematic Universe"
75,Q16,18807536,"Canada"
76,Q56275505,18690896,"Euphoria"
77,Q29647346,18678230,"Money Heist"
78,Q458,18649338,"European Union"
79,Q1406,18544368,"Microsoft Windows"
80,Q85847363,18535695,"Stranger Things, season 4"
81,Q65768589,18372883,"Shang-Chi and the Legend of the Ten Rings"
82,Q936394,18088275,"Pornhub"
83,Q6279,17930570,"Joe Biden"
84,Q38,17727629,"Italy"
85,Q14944179,17604695,"Peaky Blinders"
86,Q46,17587585,"Europe"
87,Q408,17546099,"Australia"
88,Q595841,17206297,"member state of NATO"
89,Q94,17172536,"Android"
90,Q43416,17160240,"Keanu Reeves"
91,Q712280,17064631,"list of countries and dependencies by population"
92,Q29,16958399,"Spain"
93,Q855,16881633,"Joseph Stalin"
94,Q132345,16763490,"Shinzō Abe"
95,Q19877770,16722879,"Timothée Chalamet"
96,Q36,16704314,"Poland"
97,Q38111,16703808,"Leonardo DiCaprio"
98,Q4616,16428057,"Marilyn Monroe"
99,Q3884,16366405,"Amazon"
100,Q65768604,16347585,"Thor: Love and Thunder"
101,Q937,16342576,"Albert Einstein"
102,Q146,16330326,"house cat"
103,Q22686,16189877,"Donald Trump"
104,Q918,16103902,"Twitter"
105,Q232,16090022,"Kazakhstan"
106,Q234610,15982567,"Anne Heche"
107,Q60424165,15965455,"RRR"
108,Q5873,15959682,"sexual intercourse"
109,Q39,15894382,"Switzerland"
110,Q10738,15859620,"Dwayne Johnson"
111,Q8042634,15793545,"XXXX"
112,Q151472,15742378,"list of James Bond films"
113,Q67200663,15666865,"K.G.F: Chapter 2"
114,Q9671,15631557,"Michael Schumacher"
115,Q60809,15630724,"Ansel Adams"
116,Q889,15544448,"Afghanistan"
117,Q24862683,15541175,"Demon Slayer: Kimetsu no Yaiba"
118,Q692989,15518939,"Roblox"
119,Q60,15423343,"New York City"
120,Q110138,15341552,"Top Gun"
121,Q392108,15305586,"list of highest-grossing films"
122,Q25136249,15261142,"XXX"
123,Q40096,15227259,"Will Smith"
124,Q35073,15144397,"list of presidents of the United States"
125,Q9448,15110098,"Premier League"
126,Q13909,15066166,"Angelina Jolie"
127,Q18656,15037603,"Manchester United F.C."
128,Q30487,14937907,"Mikhail Gorbachev"
129,Q373895,14917293,"Betty White"
130,Q260023,14821165,"list of countries and dependencies by area"
131,Q5187,14811536,"Chechen Republic"
132,Q184,14762753,"Belarus"
133,Q23891,14762631,"Andrew Garfield"
134,Q1001,14695017,"Mohandas Karamchand Gandhi"
135,Q55,14649067,"Netherlands"
136,Q81068910,14640909,"COVID-19 pandemic"
137,Q36215,14584461,"Mark Zuckerberg"
138,Q884,14498379,"South Korea"
139,Q801,14468720,"Israel"
140,Q517,14395220,"Napoleon"
141,Q544,14324421,"Solar System"
142,Q192682,14279708,"Ryan Reynolds"
143,Q216930,14138296,"Harry Potter film series"
144,Q8337,14094387,"Harry Potter"
145,Q186304,14041459,"Kim Kardashian"
146,Q334,14007158,"Singapore"
147,Q80322391,13891608,"The Matrix Resurrections"
148,Q155,13885142,"Brazil"
149,Q12560,13848813,"Ottoman Empire"
150,Q1065,13833576,"United Nations"
151,Q4387616,13824958,"Wikipedia:About"
152,Q28865,13740291,"Python"
153,Q217,13731500,"Moldova"
154,Q9685,13720749,"Diana, Princess of Wales"
155,Q5771590,13688575,"2022 FIFA World Cup qualification"
156,Q230,13661031,"Georgia"
157,Q7156,13654918,"FC Barcelona"
158,Q2,13647305,"Earth"
159,Q9458,13542011,"Muhammad"
160,Q8682,13527167,"Real Madrid CF"
161,Q33,13438664,"Finland"
162,Q25936414,13407132,"Millie Bobby Brown"
163,Q11459,13392102,"Serena Williams"
164,Q40715,13282292,"Jennifer Lopez"
165,Q8683,13280085,"Cold War"
166,Q28404534,13245940,"YouTube Music"
167,Q48796994,13245339,"The Boys"
168,Q9673,13244828,"Lewis Hamilton"
169,Q187447,13203616,"Pablo Escobar"
170,Q4547,13164961,"Daniel Craig"
171,Q698173,13124529,"Ana de Armas"
172,Q8216,13124515,"Greek alphabet"
173,Q9439,13111408,"Victoria"
174,Q283799,13079718,"xXx"
175,Q43203,13066626,"Clint Eastwood"
176,Q55183,13049201,"Susan Wojcicki"
177,Q36107,13044866,"Muhammad Ali"
178,Q47500433,12982730,"The Witcher"
179,Q48493,12914180,"iOS"
180,Q28561969,12843565,"XXXTentacion"
181,Q6223,12830005,"fascism"
182,Q483118,12826382,"Ben Affleck"
183,Q116933,12775136,"VK"
184,Q193074,12761958,"2022 Winter Olympics"
185,Q19848,12758867,"Lady Gaga"
186,Q35332,12742919,"Brad Pitt"
187,Q34,12731147,"Sweden"
188,Q3852623,12638162,"Maurizio Gucci"
189,Q8740,12559494,"Vietnam War"
190,Q23572,12554995,"Game of Thrones"
191,Q843,12530177,"Pakistan"
192,Q46896,12506784,"Messi"
193,Q84712802,12388817,"Moon Knight"
194,Q794,12375484,"Iran"
195,Q3626966,12370565,"Harry Styles"
196,Q7148087,12364962,"Patrizia Reggiani"
197,Q5608,12360394,"Eminem"
198,Q19837,12338738,"Steve Jobs"
199,Q23215,12319105,"Adele"
200,Q18097962,12312557,"Pete Davidson"
201,Q19093,12295413,"list of countries by GDP (nominal)"
202,Q252,12265437,"Indonesia"
203,Q17503525,12243745,"Elizabeth Holmes"
204,Q14925221,12218275,"Better Call Saul"
205,Q17714,12215239,"Stephen Hawking"
206,Q131723,12207183,"bitcoin"
207,Q60498064,12180093,"Venom: Let There Be Carnage"
208,Q180589,12162722,"Boris Johnson"
209,Q25173,12137246,"Titanic"
210,Q41421,12136799,"Michael Jordan"
211,Q34436,12127262,"Scarlett Johansson"
212,Q21914464,12117183,"Dua Lipa"
213,Q191084,12110018,"Val Kilmer"
214,Q22075020,12102839,"xXx: Return of Xander Cage"
215,Q8409,12083378,"Alexander the Great"
216,Q5812,12070297,"Novak Djokovic"
217,Q48938223,12064040,"TikTok"
218,Q302,12049576,"Jesus"
219,Q2685,12047918,"Arnold Schwarzenegger"
220,Q2005,12027176,"JavaScript"
221,Q55648452,12025432,"non-fungible token"
222,Q15935,12023359,"Kanye West"
223,Q1179138,12022669,"Null"
224,Q290,12002218,"sex"
225,Q7835,12001740,"Crimea"
226,Q96929880,11987415,"Eurovision Song Contest 2022"
227,Q36159,11958176,"LeBron James"
228,Q300950,11894039,"Roe v. Wade"
229,Q907112,11887781,"Transnistria"
230,Q1299,11851890,"The Beatles"
231,Q79,11849133,"Egypt"
232,Q8016,11814461,"Winston Churchill"
233,Q36450,11784270,"Catherine II of Russia"
234,Q151892,11768839,"Ariana Grande"
235,Q878,11752635,"United Arab Emirates"
236,Q2142669,11750254,"AmBev"
237,Q96,11733992,"Mexico"
238,Q18643737,11664795,"YouTube Premium"
239,Q488,11654433,"atomic bombings of Hiroshima and Nagasaki"
240,Q762,11580991,"Leonardo da Vinci"
241,Q29564107,11578662,"Billie Eilish"
242,Q20,11574894,"Norway"
243,Q15616276,11569619,"Telegram"
244,Q190192,11542503,"Dune"
245,Q21,11527036,"England"
246,Q462,11510278,"Star Wars"
247,Q232737,11483243,"The Walking Dead"
248,Q15031,11480462,"Xi Jinping"
249,Q55405369,11467902,"Morbius"
250,Q83495,11390318,"The Matrix"
251,Q18199332,11385766,"Fantastic Beasts: The Secrets of Dumbledore"
252,Q280856,11384291,"George VI"
253,Q22663,11361442,"The Pirate Bay"
254,Q72635834,11352015,"2021 Formula One World Championship"
255,Q19317,11350384,"FIFA World Cup"
256,Q432,11346868,"Islam"
257,Q105429923,11346185,"Special:RecentChanges"
258,Q313381,11341285,"Tom Brady"
259,Q84,11334131,"London"
260,Q40572,11297504,"Heath Ledger"
261,Q28967995,11296048,"Erling Haaland"
262,Q6622409,11295118,"list of highest-grossing Indian films worldwide"
263,Q258,11282783,"South Africa"
264,Q3052772,11223438,"Emmanuel Macron"
265,Q9036,11210085,"Nikola Tesla"
266,Q151269,11204993,"Robert Lewandowski"
267,Q15,11200415,"Africa"
268,Q14116,11189249,"macOS"
269,Q251868,11183298,"Halloween"
270,Q185165,11174638,"Olivia Newton-John"
271,Q403,11151813,"Serbia"
272,Q101797,11139408,"Winona Ryder"
273,Q2632041,11117196,"metaverse technology"
274,Q76,11087584,"Barack Obama"
275,Q16397,11078100,"Bruce Lee"
276,Q1130849,11069968,"Liverpool F.C."
277,Q171,11067811,"wiki"
278,Q851,11064772,"Saudi Arabia"
279,Q854,11062548,"Sri Lanka"
280,Q83325,11059996,"Pamela Anderson"
281,Q189490,11058282,"Jennifer Lawrence"
282,Q423,11030718,"North Korea"
283,Q26876,11011608,"Taylor Swift"
284,Q586025,10991474,"Attack on Titan"
285,Q1912,10983887,"Karim Benzema"
286,Q21621995,10963043,"Kylian Mbappé"
287,Q55632932,10951586,"Sex Education"
288,Q65130417,10939540,"Opinion polling for the next French presidential election"
289,Q84263196,10927361,"COVID-19"
290,Q165524,10923382,"Tobey Maguire"
291,Q92821370,10921523,"2022 Formula One World Championship"
292,Q40,10905451,"Austria"
293,Q11903424,10897312,"Help:IPA/English"
294,Q39476,10869459,"Emma Watson"
295,Q9696,10862551,"John F. Kennedy"
296,Q218,10829315,"Romania"
297,Q79037,10827956,"Spider-Man"
298,Q928,10815695,"Philippines"
299,Q85748936,10768785,"Bridgerton"
300,Q79031,10747244,"Mike Tyson"
301,Q178516,10727201,"Gucci"
302,Q352159,10714172,"Stephen Curry"
303,Q85323337,10704178,"The Power of the Dog"
304,Q194318,10693246,"Pirates of the Caribbean"
305,Q6534,10688821,"French Revolution"
306,Q2680,10653786,"Bruce Willis"
307,Q9616,10624991,"Chelsea F.C."
308,Q1079,10601587,"Breaking Bad"
309,Q12013,10578028,"Google Maps"
310,Q1394,10562703,"Vladimir Lenin"
311,Q31,10545011,"Belgium"
312,Q6107,10507212,"Tupac Shakur"
313,Q312556,10499503,"Jeff Bezos"
314,Q41726,10498038,"freemasonry"
315,Q41,10461647,"Greece"
316,Q166177,10455387,"Ballon d'Or"
317,Q482607,10451023,"Munhwa Broadcasting Corporation"
318,Q333544,10440592,"Bob Saget"
319,Q170572,10439546,"Alec Baldwin"
320,Q1000592,10421693,"Tyson Fury"
321,Q1246,10415616,"Kosovo"
322,Q228787,10411341,"Jada Pinkett Smith"
323,Q1037532,10409331,"Moon Knight"
324,Q211280,10407162,"Ray Liotta"
325,Q105549749,10402756,"House of Gucci"
326,Q649,10401620,"Moscow"
327,Q2239218,10397701,"Max Verstappen"
328,Q43989,10385524,"Grigori Rasputin"
329,Q40791,10353955,"Sandra Bullock"
330,Q189062,10346653,"states with nuclear weapons"
331,Q692,10340145,"William Shakespeare"
332,Q16942189,10340035,"Azov Regiment"
333,Q102439344,10332721,"Wikipedia Asian Month 2021"
334,Q673,10323994,"One Piece"
335,Q55178974,10321122,"Jurassic World Dominion"
336,Q62604229,10309552,"Marvel Cinematic Universe Phase Four"
337,Q28,10287194,"Hungary"
338,Q157280,10243543,"Stepan Bandera"
339,Q7553,10240437,"translation"
340,Q55522899,10240098,"Jujutsu Kaisen"
341,Q438406,10237757,"Grey's Anatomy"
342,Q208026,10235849,"Tom Hardy"
343,Q25205293,10181276,"Ozark"
344,Q173399,10158393,"Elliot Page"
345,Q8394,10147191,"sex position"
346,Q924355,10140752,"XXXX"
347,Q161790,10122437,"Asperger syndrome"
348,Q16927658,10096375,"Google Classroom"
349,Q103343,10092086,"Jennifer Connelly"
350,Q2277,10078345,"Roman Empire"
351,Q229,10067300,"Cyprus"
352,Q83338,10057491,"Robin Williams"
353,Q213,10028242,"Czech Republic"
354,Q80976,10025139,"Prince Philip, Duke of Edinburgh"
355,Q8396,10012776,"masturbation"
356,Q1203,10009596,"John Lennon"
357,Q336788,10003742,"Oscar Isaac"
358,Q4583,9997713,"Anne Frank"
359,Q64849968,9995577,"Emma Raducanu"
360,Q35,9994231,"Denmark"
361,Q1899,9989833,"Kyiv"
362,Q166502,9988045,"seven deadly sins"
363,Q11578,9978059,"Venus Williams"
364,Q16150196,9977761,"Donetsk People's Republic"
365,Q8646,9976057,"Hong Kong"
366,Q142794,9963765,"Neymar"
367,Q664,9938128,"New Zealand"
368,Q45,9937797,"Portugal"
369,Q5582,9935305,"Vincent van Gogh"
370,Q315271,9921978,"Jason Momoa"
371,Q4555537,9914639,"Twitch"
372,Q414,9912311,"Argentina"
373,Q881,9903393,"Vietnam"
374,Q193159,9902941,"Russian Armed Forces"
375,Q192218,9901779,"Ted Bundy"
376,Q36844,9898217,"Rihanna"
377,Q12802,9851021,"nuclear weapon"
378,Q50602,9837567,"Manchester City F.C."
379,Q49740,9793220,"Minecraft"
380,Q7318,9788297,"Nazi Germany"
381,Q11750,9787621,"list of sovereign states"
382,Q30599007,9784369,"Succession"
383,Q40026,9763858,"Sylvester Stallone"
384,Q42869,9735507,"Nicolas Cage"
385,Q90,9727604,"Paris"
386,Q7174,9709629,"democracy"
387,Q567,9688986,"Angela Merkel"
388,Q104154217,9679986,"Obi-Wan Kenobi"
389,Q5043,9679972,"Christianity"
390,Q2763,9651634,"The Holocaust"
391,Q37,9643569,"Lithuania"
392,Q40540,9639532,"zodiac"
393,Q186447,9631268,"James Webb Space Telescope"
394,Q1028,9619762,"Morocco"
395,Q36597284,9616660,"Wagner Group"
396,Q63981675,9603408,"Tokyo Revengers"
397,Q15862,9601780,"Queen"
398,Q7322,9594267,"Christopher Columbus"
399,Q5372,9590108,"basketball"
400,Q11975,9568970,"Britney Spears"
401,Q227,9548519,"Azerbaijan"
402,Q133313,9542626,"Jake Gyllenhaal"
403,Q83287,9535046,"Selena Gomez"
404,Q423289,9516223,"BBC World Service"
405,Q48,9508074,"Asia"
406,Q233,9503807,"Malta"
407,Q2736,9499353,"association football"
408,Q8023,9481736,"Nelson Mandela"
409,Q1795024,9442921,"occidental astrological sign"
410,Q1770624,9434051,"Kylie Jenner"
411,Q34086,9423582,"Justin Bieber"
412,Q484523,9401059,"Jared Leto"
413,Q189,9349045,"Iceland"
414,Q312,9345825,"Apple Inc."
415,Q5269483,9328061,"list of One Piece episodes"
416,Q86751411,9326660,"Pushpa: The Rise"
417,Q11660,9321275,"artificial intelligence"
418,Q5107,9320241,"continent"
419,Q64826862,9311474,"Elden Ring"
420,Q65231576,9310228,"Spy × Family"
421,Q222,9298583,"Albania"
422,Q7186,9284183,"Marie Curie"
423,Q91,9277310,"Abraham Lincoln"
424,Q8398,9268905,"anal sex"
425,Q29261,9266589,"Lockheed Martin F-35 Lightning II"
426,Q174614,9257233,"Carlo Ancelotti"
427,Q2808,9243811,"Elton John"
428,Q54810034,9241591,"2022 FIFA World Cup qualification - UEFA"
429,Q224,9237639,"Croatia"
430,Q483020,9235907,"Paris Saint-Germain F.C."
431,Q25369,9219073,"Kobe Bryant"
432,Q100361490,9203262,"Don't Look Up"
433,Q80069,9184305,"Megan Fox"
434,Q49,9177320,"North America"
435,Q1744,9166494,"Madonna"
436,Q243,9161585,"Eiffel Tower"
437,Q32522,9159579,"Jennifer Aniston"
438,Q61633664,9156276,"The King's Man"
439,Q295498,9150541,"Henry Cavill"
440,Q47452423,9142999,"Yellowstone"
441,Q227129,9127909,"Zoë Kravitz"
442,Q38370,9120309,"Henry VIII of England"
443,Q902,9092565,"Bangladesh"
444,Q96621465,9085715,"2021–22 UEFA Champions League"
445,Q2269,9080857,"Industrial Revolution"
446,Q508049,9073491,"Ezra Miller"
447,Q6186,9068715,"communism"
448,Q1048,9049238,"Julius Caesar"
449,Q8027,9033986,"Martin Luther King Jr."
450,Q846,9001787,"Qatar"
451,Q20882479,8980172,"Anya Taylor-Joy"
452,Q35657,8955363,"U.S. state"
453,Q656,8953321,"Saint Petersburg"
454,Q8007,8950634,"Franklin Delano Roosevelt"
455,Q869,8939408,"Thailand"
456,Q83071,8922054,"Downton Abbey"
457,Q6096,8917987,"Snoop Dogg"
458,Q37876,8887630,"Natalie Portman"
459,Q2263,8877358,"Tom Hanks"
460,Q34424,8873663,"Shakira"
461,Q382370,8863800,"monkeypox"
462,Q405,8860624,"Moon"
463,Q37459,8847386,"Nicole Kidman"
464,Q8676,8841998,"American Civil War"
465,Q49628,8835763,"2021"
466,Q210701,8835339,"history of Ukraine"
467,Q34768,8815356,"list of country calling codes"
468,Q5383,8808544,"David Bowie"
469,Q169963,8779652,"Jason Statham"
470,Q72930269,8758414,"House of the Dragon"
471,Q36767,8756983,"Robert Pattinson"
472,Q7207,8744705,"Elizabeth I of England"
473,Q525,8743567,"Sun"
474,Q36704,8743237,"Yugoslavia"
475,Q3099714,8736749,"Justin Trudeau"
476,Q235,8733608,"Monaco"
477,Q720,8724603,"Genghis Khan"
478,Q17515,8712145,"Diego Maradona"
479,Q40504,8708820,"Jim Carrey"
480,Q269412,8701710,"George V"
481,Q254,8692897,"Wolfgang Amadeus Mozart"
482,Q935,8691326,"Isaac Newton"
483,Q2599,8688653,"Paul McCartney"
484,Q1734,8676998,"volleyball"
485,Q202589,8670259,"Cillian Murphy"
486,Q147077,8668680,"Emma Stone"
487,Q748,8667422,"Buddhism"
488,Q2315802,8662819,"Dakota Johnson"
489,Q4692,8655301,"Renaissance"
490,Q165219,8655139,"Robert Downey Jr."
491,Q5588,8643799,"Frida Kahlo"
492,Q85000980,8643188,"The Last Duel"
493,Q5284,8638754,"Bill Gates"
494,Q1354960,8625094,"Mohamed Salah"
495,Q833,8621408,"Malaysia"
496,Q4470,8611569,"The Wheel of Time"
497,Q104396610,8609534,"The Book of Boba Fett"
498,Q68,8585575,"computer"
499,Q44306,8583905,"Salman Rushdie"
500,Q18233,8580963,"ABBA"
501,Q39082126,8580258,"You"
502,Q18199330,8572727,"Fantastic Beasts and Where to Find Them"
503,Q1968,8567665,"Formula One"
